Property,Type,Units,Description,URL
cluster size#ExtractClusters#scan,int,,The number of molecules in the extracted cluster,
spread rg#ExtractClusters#scan,float,Å,The radius of gyration of the molecular centroids of the cluster,
spread dmax#ExtractClusters#scan,float,Å,The largest centroid-centroid distance within the cluster,
n edges#ExtractClusters#scan,int,,The number of molecule-molecule contacts (edges of the contact graph) within the cluster,
motif#ExtractClusters#scan,str,,The topology of the cluster's contact graph (chain / ring / star / paw / diamond / K4 or e<edges> for larger clusters),
centre coordination#ExtractClusters#scan,int,,The number of contacts of the most-connected molecule within the cluster (its degree in the induced contact graph): 3 for a star tetramer or a 4-star's centre has 4,
degrees#ExtractClusters#scan,str,,The degree sequence of the cluster's contact graph in descending order (hyphen separated),
spread bin#ExtractClusters#scan,int,,The stratification bin (0-based) of the spread coordinate this cluster was accepted into,
source molecules#ExtractClusters#scan,str,,The indices of the molecules in the source configuration making up the cluster (hyphen separated),
